User Type,Username,Date,Text
,Illuminati_17,2005-08-04T18:50Z,LOL you pervert.... ;)
,Gouke,2005-08-05T15:52Z,Ok I dont understand... How did his mom found out that he was fucking a pig?
,shady78,2005-08-05T22:37Z,"She was just exagerating she dident really think he was it was just an expression as if you came home from one day and told sombody you won a million dollars and they said ""ya in a pigs ass"" well in this case the kid was really fuckin a pig so thats why he said gee mom you here everything over the scanner"
,Noob.elfs,2005-08-08T01:11Z,i didnt get it until shady78 said that thing :p
,Tcip,2005-08-09T17:47Z,Modem speed!
,Yakamaru,2006-01-03T12:30Z,Can someome please tell me how to install or get this file to the X-Box? Thanks:)
,Yakamaru,2006-01-03T12:47Z,"And instead of writing a stupid joke, you could've atleast have wrote how to install it!"
,(MUFFE),2006-01-07T18:30Z,Burn the iso file on dvd and put it in the Xbox or ftp the iso fiel with Qwix http://www.teamavalaunch.com/qwix/Qwix101.rar
,Yakamaru,2006-01-08T14:03Z,"Thanks alot MUFFE! :D:D

That was very very helpful:)"
,toastie,2006-05-16T07:41Z,hey...i have a question for anyone who knows...is this an original version of the game or is it a platnium addition...i need to know because the newer version can NOT be used to mod xboxs...i want to mod my xbox and can't find original copies of the games needed to soft mod.
,Oberthun,2008-03-04T21:59Z,"How does this work? I have successfully upload games before from my mac with xiso, but for this game it only creates a folder, containing a folder called ""audio"". Then it stops copying - it never actually copies anything, just crashes. I've tried renaming the original iso as well, but same thing happens. What is up with that?"
,snarglefargle,2008-03-15T19:03Z,"ahem, hem...

 FREAKING SEED!
This one will take three full days to download.

If you are modding your box, you can purchase the original (NOT game of the year) mechassault for about three bucks, or you can use 007 Agent Under Fire for the same exploit. 
"
,^56^Animal,2008-11-26T23:50Z,"Q - How do you piss you're old lady off havin sex???

A - Give her a call Hahaha

Sorry, couldn't resist
So does this release work for the xbox mod???
Thanx man"
,cdarulez0231,2009-07-10T22:36Z,"to toaste
if you want to get your xbox modded
youve already done it
you cannot play copied games without a mod chip. so if you have one just download 
auto installer deluxe 4.40
and play it on your xbox, after about a minute of loading you can then put linux on your xbox."
