01 - Intro                                    [00:48]
02 - Det Passer                               [03:27]
03 - Fra Mit Kvarter - Feat. L.O.C.           [03:36]
04 - Kig Forbi                                [03:36]
05 - Kender Du Det                            [03:56]
06 - Nasty                                    [03:49]
07 - Ik Hate                                  [02:33]
08 - Drama                                    [03:14]
09 - Bite Mit Shit                            [03:44]
10 - Dankort Blues                            [02:58]
11 - Tatoos                                   [03:52]
12 - De Dr┬░mmer - Feat. U$O                   [06:09]
13 - Pengeskabet - Feat. ALEX                 [03:29]
14 - Total Lokal                              [03:41]
15 - Borte Med Bl┬╡sten                        [03:45]
