Track #       Song Name                             Artist 

Track 01      ROCKS                                   Hound Dog 
Track 02      I Said I'm Naruto                   Toshiro Masuda 
Track 03      Nine Tail Demon Fox              Toshiro Masuda 
Track 04      Morning                                  Toshiro Masuda 
Track 05      Naruto's Daily Life                  Toshiro Masuda 
Track 06      Nervous                                 Toshiro Masuda 
Track 07      The Raising Fighting Spirit     Toshiro Masuda 
Track 08      Sadness and Sorrow             Toshiro Masuda 
Track 09      Loneliness                             Toshiro Masuda 
Track 10      Sakura's Theme                     Toshiro Masuda 
Track 11      Kakashi's Theme                    Toshiro Masuda 
Track 12      Sexiness                                Toshiro Masuda 
Track 13      Go Go Naruto!                        Toshiro Masuda 
Track 14      Evening                                  Toshiro Masuda 
Track 15      Glued State                            Toshiro Masuda 
Track 16      Need To Be Strong                 Toshiro Masuda 
Track 17      Bad Situation                          Toshiro Masuda 
Track 18      Strong And Strike                   Toshiro Masuda 
Track 19      Turn Over                               Toshiro Masuda 
Track 20      Victory                                    Toshiro Masuda 
Track 21      Naruto Main Theme                Toshiro Masuda 
Track 22      Wind                                      Akeboshi 
