--
--  - Tracks Hits 1988 - Topp 50
--
--
--  - Låt 48-25 - inspelad 881217
--  - Låt 24-1  - inspelad 881224
-- 

Plac	Artist/Låt
1	Mauro Scocco - Sarah
2	Roxette - Listen to your heart
3	Tommy Nilsson & Tone Norum - My summer with you
-	Statistik - 10 populäraste artisterna alla kategorier
4	Tommy Nilsson - Maybe we're about to fall in love
-	Statistik - 10 populäraste svenska artisterna
5	Alien - Only one woman
6	George Michael - One more try
7	Style - It's a secret
8	Bros - Drop the boy
9	Trancedance - You're gonna get it
10	Kim Wilde - You came
11	Eric Carmen - Hungry eyes
12	Pet Shop Boys - Always on my mind
13	Belinda Carlisle - Heaven is a place on earth
14	Terence Trent D'Arby - Sign your name
15	Patrick Swayze & Wendy Fraser - She's like the wind
16	Tiffany - Could've been
17	Sha-Boom - R.O.C.K
18	Rick Astley - My arms keep missing you
19	Pet Shop Boys - Domino dancing
20	Def Leppard - Love bites
21	Taylor Dayne - Tell it to my heart
22	Trance Dance - Joy Toy
23	Koreana - Hand in hand
24	Brenda Russell - Piano in the dark
25	Europe - Open your heart
26	Breathe - Hands to heaven
27	Richard Marx - Hold on to the nights
28	Rick Astley - Together forever
29	Europe - Superstitious
30	Fleetwood Mac - Everywhere
31	Phil Collins - Groovy kind of love
32	Kim Wilde - Never trust a stranger
33	Grace - Ingen kan älska som vi
34	Orup & Karin Wistrand - Stanna hos dej
35	Bros - I owe you nothing
36	Toto - Stop loving you
37	Mikael Rickfors - Vingar
-	Statistik - poäng fördelat per land
38	Richard Marx - Endless summer nights
39	Johnny Hates Jazz - Heart of gold
40	Debbie Gibson - Foolish beat
41	Tommy Nilsson - Miss my love
42	Pet Shop Boys - Heart
-	Tävling - vad heter framsidorna på de tre singlarna
43	Roxette - It must have been love
44	Whitney Houston - One moment in time
45	Orup - Min mor sa till mig
46	Primitives - Crash
47	Rick Springfield - Rock of life
48	Erasure - Ship of fools
49	Foreigner - Say you will
50	T'pau - China in your hand


881217	50-47 saknas
881224	24-22 inspelad i slutet på bandet Tracks Hits 1988 - Del 1 Sida B
881224	17 saknas
