A little plug-in pack for all nero 5xx - 6xx.
Included plug-ins lited below.


Filename Size 
Aac.dll 856 KB 
Aiff.dll 196 KB 
DVDMPEG2Enc.dll 196 KB 
DefConvertor.dll 168 KB 
NeMP3Enc.dll 396 KB 
Nedsp.dll 60 KB 
NeroIPP.dll 864 KB 
TWINVQ2.CDB 328 KB 
VMPEG2Enc.dll 424 KB 
Vqf.dll 200 KB 
VqfDecLib.dll 652 KB 
VqfEncLib.dll 808 KB 
VqfEncLib1.dll 216 KB 
aacenc32.dll 748 KB 
mp3PRO.dll 636 KB 
mp3PRO_dmo.dll 68 KB 
mp3PRO_hlp.dll 60 KB 
msa.dll 80 KB 
nxAAC.dll 348 KB 
nxLame.dll 280 KB 
nxMyAAC.dll 348 KB 
nxMyAC3.dll 108 KB 
nxMyAPE.dll 108 KB 
nxMyASF.dll 40 KB 
nxMyFLA.dll 112 KB 
nxMyLPAC.dll 100 KB 
nxMyMPC.dll 208 KB 
nxMyOFR.dll 136 KB 
nxMyOgg.dll 1000 KB 
nxMyPlug.ini 95 
nxMyReal.dll 2.5 MB 
nxMySHN.dll 476 KB 
nxMySPX.dll 344 KB 
nxPsyTEL.dll 568 KB 
nxWavPack.dll 144 KB 
wav.dll 208 KB 
