Filename                              Type                   Size  
-----------------------------------   -----------------   ------- 
01 Know Who You Are at Every Age      Winamp media file   5.215KB                                    
02 Evangeline                         Winamp media file   6.360KB                                    
03 Bluebeard                          Winamp media file   5.548KB                                    
04 Theft, And Wandering Around Lost   Winamp media file   6.343KB                                    
05 Oil of Angels                      Winamp media file   6.521KB                                    
06 Squeeze-Wax                        Winamp media file   5.383KB                                    
07 My Truth                           Winamp media file   6.429KB                                    
08 Essence                            Winamp media file   4.280KB                                    
09 Summerhead                         Winamp media file   5.142KB                                    
10 Pur                                Winamp media file   7.083KB                                    
